Id,Location,Name,Category,Description,Latitude,Longitude,Altitude,Date verified,Open,Electricity,Wifi,Kitchen,Parking,Restaurant,Showers,Water,Toilets,Big rig friendly,Tent friendly,Pet friendly,Sanitation dump station,Outdoor gear,Groceries,Artisan goods,Bakery,Rarity in this area,Repairs vehicles,Repairs motorcycles,Repairs bicycles,Sells parts,Recycles batteries,Recycles oil,Bio fuel,Electric vehicle charging,Composting sawdust,Recycling center
5542,"63/3441, Aroor - Thoppumpady Rd, Valummel, Kochi, Kerala 682005, India",Good Karma,Hostel,"Great hotel/hostel/guest house. Many rooms available, Very helpful host and staff. Inexpensive rooms , hot water, a/c internet, common room ",9.93123,76.2673,0,2022-10-25 21:20:27 UTC,Yes,Yes,Yes - Average,Yes,Yes,Yes,Hot,Non-Potable,Running Water,No,No,Unknown,,,,,,,,,,,,,,,,
5752,"India, Nagaland, Kohima, Jakhama",Kisama Heritage Village,Informal Campsite,"plenty of place in from of the museum of this Heritage Village.
Strongly recommended to assist during the Hornbill Festival at the beginning of December.",25.61627,94.11503,,2015-04-03 15:30:15 UTC,Yes,Unknown,Unknown,Unknown,,Yes,Unknown,Unknown,Unknown,Yes,Yes,Yes,,,,,,,,,,,,,,,,
9497,"Khir Ganga Ghat Path, Baijnath, Himachal Pradesh 176125, India",Baijanth Carpark,Informal Campsite,"Central but rarely-used Carpark, hidden, right next to the River on the edge of the town. You can walk to the Shiva Temple from here by using stairs.",32.05159,76.64468,992,2023-11-19 00:00:00 UTC,Yes,No,No,No,,No,No,Yes,No,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,
9811,"Tehri - Dharasu Rd, Malli, Uttarakhand 249132, India",Gangotri to rishikesh,Wild Camping,"Drive through villages, to dead end Road next to resovoir. Might cause attention in the village, will Visite you but are Nice. Bottom of a Hill and Rice Paddy. ",30.54264,78.34117,,2015-10-20 00:00:00 UTC,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,,,,,,,,,,
10169,"Thimmaya Road, Amritsar Cantonment, Amritsar, Punjab 143001, India",Mrs. Bandhari's Guest House,Established Campground,"Mrs. Bandhari's Guest House is listed in every guide book. Idyllic gardens, pool, spotless, WC/showers, quiet, safe, good and expensive restaurant, fresh meat, 450rp/night. In cantonment, about 3km NW of city centre.",31.641522,74.849607,330,2024-10-28 00:00:00 UTC,Yes,Yes - At Sites,Yes - Slow,No,,Yes,Warm,Yes,Running Water,Yes,Yes,Yes,Unknown,,,,,,,,,,,,,,,
10171,"Murzban Rd, Azad Maidan, Fort, Mumbai, Maharashtra 400001, India",Parking outside Outram Hotel,Informal Campsite,"I was at the Outram Hotel, but in the side streets around it you can stay in your vehicle, too. Rats, homeless, security guards around. Parking fees are negotiable. Noisy ACs at night, many students during daytime. Access: financial district, between Churchgate and Victoria Terminus, near the Dutch consulate, one block east of Bombay Gymkhana Grounds (sports grounds and Park).",18.936505,72.832001,2,2011-01-01 00:00:00 UTC,Yes,No,No,No,,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,
10172,"Arthur Seat- Castle Roack Point- Savitri Point- Brahmarishi Caves- Marjori Point- Elephintone Point- Old Mahabaleshwar Rd, Maharashtra 402303, India",Parking lot,Informal Campsite,"Parking lot beside the panoramic road, about one kilometre before Arthur's Seat view point, cool climate thanks to high altitude, great views.",17.974085,73.638766,0,2015-11-02 06:40:35 UTC,Yes,No,No,No,,No,No,No,No,Yes,No,Yes,,,,,,,,,,,,,,,,
10174,"Tonka, Honnavar taluku, Uttara Kannada, Karnataka, 581342, India",Peninsula Beach,Overnight Prohibited,"*Overnight camping/parking is NOT available at this location.
.....
Right behind the beach on a barren peninsula, a few fishermens’ huts nearby. Quiet, no shade, fine sandy beach. The last metres to the beach are a dead end. No turning point.",14.28211,74.4261,2,2024-02-20 00:00:00 UTC,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
10175,"New Varuna Bridge, Nadesar, Hamrautia, Varanasi, Uttar Pradesh 221002, India",Surya Hotel,Informal Campsite,"Parking of Surya Hotel (in cantonment, NW of city centre), about EUR 3/night, pool charged extra. Entrance gate might be narrow for trucks.",25.339391,82.97987,0,2019-03-17 08:44:49 UTC,Yes,No,Unknown,No,,Yes,No,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,
11461,"Upper Cart Rd, Chandraloke, Kalimpong, West Bengal 734301, India","Mansarover House, chandraloke, kalimpong 734301, Telefon.  0091 7679622730",Hotel,"Family Homestay with 3 rooms, beautiful garden with own vegetables and loads of flowers. Perfect meals are around 90 rp,  fried eggs etc. just 20rp - cheapest place in town, 2000rp negotiable to 1500. Carpark available, quite area! Monastery nearby",27.052668,88.461759,1322.003154305324,2015-12-03 10:40:04 UTC,Yes,Unknown,Yes - Slow,Unknown,Yes,Yes,Hot,Potable,Running Water,No,No,Yes,,,,,,,,,,,,,,,,
